ensgene,SRR1039508,SRR1039509,SRR1039512,SRR1039513,SRR1039516,SRR1039517,SRR1039520,SRR1039521,mean_control,mean_treated,log2_fold_change,p_value,Significance,color
ENSG00000000003,723.0,486.0,904.0,445.0,1170.0,1097.0,806.0,604.0,604.5,674.5,0.15782880963135604,0.8117878305951204,Not significant,gray
ENSG00000000005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,Not significant,gray
ENSG00000000419,467.0,523.0,616.0,371.0,582.0,781.0,417.0,509.0,495.0,493.5,-0.004369599627764842,0.9915595366628654,Not significant,gray
ENSG00000000457,347.0,258.0,364.0,237.0,318.0,447.0,330.0,324.0,302.5,300.5,-0.009538514355597272,0.9817646025586577,Not significant,gray
ENSG00000000460,96.0,81.0,73.0,66.0,118.0,94.0,102.0,74.0,88.5,69.5,-0.3442644248654627,0.1485896415983804,Not significant,gray
ENSG00000000938,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.5,0.5849625007211562,0.42264973081037427,Not significant,gray
ENSG00000000971,3413.0,3916.0,6000.0,4308.0,6424.0,10723.0,5039.0,7803.0,3664.5,5154.0,0.4919624220529144,0.23353368164567945,Not significant,gray
ENSG00000001036,2328.0,1714.0,2640.0,1381.0,2165.0,2262.0,2175.0,1786.0,2021.0,2010.5,-0.007511259277384497,0.989399609319128,Not significant,gray
ENSG00000001084,670.0,372.0,692.0,448.0,917.0,807.0,744.0,685.0,521.0,570.0,0.1294409387929587,0.8229222803781183,Not significant,gray
ENSG00000001167,426.0,295.0,531.0,178.0,740.0,651.0,414.0,269.0,360.5,354.5,-0.024146087331700983,0.977469863388384,Not significant,gray
ENSG00000001460,191.0,182.0,287.0,137.0,256.0,234.0,173.0,189.0,186.5,212.0,0.18396283484259524,0.7666410953741148,Not significant,gray
ENSG00000001461,2232.0,1969.0,5252.0,2698.0,2699.0,2932.0,2495.0,3206.0,2100.5,3975.0,0.9198983004103134,0.28167910877443725,Not significant,gray
